iter	Passed	Remaining
0	49	49834
1	51	25521
2	52	17310
3	52	13176
4	53	10688
5	54	9056
6	55	7878
7	56	7017
8	57	6314
9	58	5746
10	58	5288
11	59	4904
12	60	4579
13	61	4300
14	62	4083
15	63	3894
16	64	3704
17	64	3536
18	65	3398
19	66	3279
20	67	3169
21	69	3070
22	70	2983
23	70	2886
24	71	2797
25	72	2715
26	73	2640
27	74	2569
28	74	2502
29	75	2440
30	76	2382
31	76	2328
32	78	2290
33	78	2243
34	79	2199
35	80	2156
36	81	2116
37	82	2088
38	83	2051
39	84	2016
40	84	1986
41	86	1968
42	87	1936
43	87	1905
44	88	1875
45	89	1855
46	90	1834
47	91	1814
48	92	1789
49	93	1767
50	93	1744
51	94	1723
52	95	1702
53	96	1683
54	96	1664
55	97	1645
56	98	1626
57	99	1608
58	99	1590
59	100	1573
60	101	1557
61	101	1542
62	102	1526
63	103	1511
64	104	1496
65	104	1481
66	105	1467
67	105	1449
68	106	1436
69	107	1423
70	107	1412
71	108	1401
72	109	1390
73	110	1378
74	110	1367
75	111	1356
76	112	1346
77	113	1336
78	113	1327
79	114	1317
80	115	1308
81	116	1299
82	116	1290
83	117	1281
84	118	1270
85	118	1262
86	119	1252
87	120	1245
88	120	1237
89	121	1230
90	122	1222
91	123	1214
92	123	1206
93	124	1199
94	125	1192
95	125	1184
96	126	1178
97	127	1171
98	127	1164
99	128	1157
100	129	1151
101	129	1141
102	130	1134
103	131	1128
104	131	1122
105	132	1116
106	133	1110
107	133	1105
108	134	1099
109	135	1093
110	135	1088
111	136	1082
112	137	1077
113	137	1071
114	138	1066
115	138	1059
116	139	1053
117	140	1048
118	140	1042
119	141	1037
120	142	1032
121	142	1027
122	143	1019
123	143	1015
124	144	1011
125	145	1006
126	145	1002
127	146	996
128	146	992
129	147	988
130	148	984
131	149	980
132	149	976
133	150	971
134	151	967
135	151	963
136	152	959
137	152	954
138	153	951
139	154	947
140	155	944
141	155	940
142	156	936
143	156	932
144	157	929
145	158	925
146	158	922
147	159	919
148	160	915
149	161	912
150	161	909
151	162	905
152	163	902
153	163	899
154	164	895
155	164	892
156	165	889
157	166	885
158	166	882
159	167	878
160	168	875
161	168	872
162	169	869
163	169	865
164	170	862
165	171	859
166	171	856
167	172	852
168	172	849
169	173	846
170	173	843
171	174	840
172	175	837
173	175	834
174	176	830
175	176	827
176	177	824
177	177	821
178	178	818
179	179	815
180	179	811
181	179	808
182	180	805
183	180	802
184	181	799
185	181	796
186	182	793
187	182	790
188	183	787
189	184	784
190	184	781
191	184	778
192	185	775
193	185	772
194	186	769
195	186	766
196	187	763
197	187	760
198	188	757
199	188	755
200	189	752
201	189	749
202	190	746
203	190	744
204	191	741
205	191	738
206	192	735
207	192	733
208	193	730
209	193	727
210	193	724
211	194	722
212	194	719
213	195	716
214	195	714
215	195	711
216	196	708
217	196	705
218	197	703
219	197	700
220	198	697
221	198	695
222	198	692
223	199	690
224	199	687
225	200	684
226	200	682
227	200	679
